Startup Name,Location,Founders,Website,Article URL
Exein,Rome,Gianni Cuozzo,,https://www.eu-startups.com/2024/07/rome-based-exein-raises-e15-million-aiming-to-set-a-global-standard-for-embedded-cybersecurity/
Cursor,null,null,null,https://www.eu-startups.com/2026/06/can-european-startups-learn-from-u-s-storytelling/
Tannico,"Milan, Italy",Marco Magnocavallo,,https://www.eu-startups.com/2016/10/tannico-italian-online-retailer-for-fine-wine-secures-e3-8m-in-a-series-a-funding-round/
Yoogoin,Italy,Luca Panzarella,,https://www.eu-startups.com/2013/03/yoogoin-the-smart-events-search-engine-interview/
ISAAC antisismica,"Milan, Italy",null,null,https://www.eu-startups.com/2026/03/milan-based-isaac-raises-e14-million-to-expand-earthquake-resilience-technology-for-the-construction-sector/
Foreverland,"Bari, Italy","Massimo Sabatini, Riccardo Bottiroli, Giuseppe D’Alessandro, and Massimo Brochetta",N/A,https://www.eu-startups.com/2024/10/italian-foodtech-foreverland-raises-e3-4-million-to-redefine-the-future-of-chocolate/
Equixly,Verona,Mattia Dalla Piazza and Alessio Dalla Piazza,N/A,https://www.eu-startups.com/2025/12/verona-based-equixly-raises-e10-million-to-scale-its-ai-driven-platform-for-automated-api-security-testing/
MotorK,Milan,Marco Marlia,,https://www.eu-startups.com/2020/09/milan-based-motork-secures-e10-million-to-accelerate-post-covid-growth-of-its-automotive-sales-and-marketing-technology/
ADmantX,Naples,,,https://www.eu-startups.com/2013/01/admantx-closes-a-second-round-with-atlante-ventures-mezzogiorno/
Oura,"Oulu, Finland",,,https://www.eu-startups.com/2020/01/10-cool-european-wearable-startups-to-watch-in-2020/
inVRsion,"Milan, Italy","Matteo Esposito, Paolo Pascolo, Flora Caroli, Luca Ferrari Trecate",N/A,https://www.eu-startups.com/2020/05/milan-based-invrsion-virtual-reality-startup-raises-e3-million/
Skillvue,Milan,Nicolò Mazzocchi and Simone Patera,N/A,https://www.eu-startups.com/2024/09/milan-based-hr-tech-skillvue-gets-e2-5-million-for-ai-based-skills-assessment-platform/
Machinio.com,Berlin,null,Machinio.com,https://www.eu-startups.com/2019/03/startup-jobs-of-the-week-join-machinio-wild-code-school-what-digital-or-busuu/
Miummium,Glasgow,,,https://www.eu-startups.com/2019/01/10-european-startups-to-help-keep-you-comfy-at-home-this-winter/
Intuos,Rome,Carolina Gianardi and Vito Tedeschi,,https://www.eu-startups.com/2026/02/italian-aviationtech-startup-intuos-raises-e720k-to-scale-fleet-operations-platform-internationally/
Cowo360,Rome,null,null,https://www.eu-startups.com/2017/07/overview-10-of-the-best-co-working-spaces-in-rome/
King,,Riccardo Zacconi,King.com,https://www.eu-startups.com/2017/11/riccardo-zacconi-founder-and-ceo-of-king-com-will-join-us-as-a-speaker-at-the-eu-startups-summit/
VoiceMed,Rome,Arianna Arienzo,,https://www.eu-startups.com/2026/02/rome-based-voicemed-reaches-e1-million-in-total-funding-launches-pilot-for-early-detection-of-chronic-respiratory-diseases/
null,null,null,null,https://www.eu-startups.com/2017/05/we-start-you-up-apply-now-for-the-startup-initiative-of-aruba-cloud-sponsored/
Inxpect,"Brescia, Italy",Luca Salgarelli,,https://www.eu-startups.com/2020/10/reinventing-the-way-people-interact-with-machinery-interview-with-inxpect-founder-luca-salgarelli/
null,null,null,null,https://www.eu-startups.com/2026/06/weekly-funding-round-up-all-of-the-european-startup-funding-rounds-we-tracked-this-week-june-15-june-19/
NANDO,"Turin, Italy","Riccardo Leonardi, Fabrizio Custorella, Giovanni Lucifora, Federico Fedi, Simone Cavariani",N/A,https://www.eu-startups.com/2026/02/turins-nando-secures-e3-3-million-to-scale-municipal-and-food-waste-optimisation-technology/
Bluenet,Naples,,,https://www.eu-startups.com/2018/06/10-naples-based-startups-to-watch-in-2018/
Talent Garden TAG Milano,"Milan, Italy","Not specified, founded in Italy in 2011",null,https://www.eu-startups.com/2016/09/overview-of-the-best-coworking-spaces-in-milan/
Benefiz,Lille,,,https://www.eu-startups.com/2026/05/are-your-employees-happy-10-startups-working-to-make-teams-feel-better-at-work/
Gyver,"Brescia, Italy","Francesco Defendi, Leo Acciarri, and Mattia Zarrelli",,https://www.eu-startups.com/2026/05/ai-for-the-workers-it-cant-replace-italys-gyver-raises-e1-4-million-to-empower-electricians/
Easytip,London,,,https://www.eu-startups.com/2023/09/meet-europes-top-50-travel-startups-of-2023-premium-report/
Aidexa,Milan,null,null,https://www.eu-startups.com/2021/01/10-of-the-most-promising-italian-startups-to-watch-out-for-in-2021/
Blusho,Glasgow,null,null,https://www.eu-startups.com/2017/07/10-european-startups-with-the-potential-to-disrupt-the-beauty-industry/
JUSP,Milan,Jacopo Vanetti and Giuseppe Saponaro,null,https://www.eu-startups.com/2013/04/6mln-for-jusp-the-italian-startup-that-turns-your-smartphone-into-a-pos/
H-FARM,"Treviso, Italy",Riccardo Donadon,,https://www.eu-startups.com/2016/12/startup-is-my-way-inspired-the-next-generation-of-founders-and-celebrated-female-entrepreneurship/
Voidless,"Milan, Italy","Carlo Villani, Daniel, Guglielmo, Mattia",N/A,https://www.eu-startups.com/2024/02/milan-based-voidless-raises-e2-2-million-to-confront-the-overpackaging-problem-with-box-on-demand-solution/
Epitome Therapeutics,Vienna,Dr. Guido Gualdoni and Dr. Jamie Hackett,N/A,https://www.eu-startups.com/2026/06/austrian-biotech-startup-epitome-therapeutics-announces-e4-million-in-funding-to-advance-programmes-and-grow-team/
Casavo,"Milan, Italy",Giorgio Tinacci,N/A,https://www.eu-startups.com/2022/07/italian-proptech-startup-casavo-takes-home-e400-million-as-it-shakes-up-europes-property-market/
Everli,Milan,null,null,https://www.eu-startups.com/2021/03/milan-based-everli-secures-e85-2-million-to-accelerate-eu-expansion-of-its-online-grocery-marketplace/
Beddit,Finland,,,https://www.eu-startups.com/2018/10/10-promising-startups-that-are-tackling-sleeping-disorders/
Vento,"Turin, Italy","John Elkann, Diyala D
	Aveni",,https://www.eu-startups.com/2025/03/vc-fund-vento-launches-e75-million-fund-ii-to-back-the-boldest-italian-founders/
Funambol,"Redwood City, California, USA; Pavia, Italy",Fabrizio Capobianco,N/A,https://www.eu-startups.com/2010/12/fabrizio-capobianco-steps-down-as-funambol-ceo-prepares-exit/
ProntoPro,Milan,Marco Ogliengo and Silvia Wang,,https://www.eu-startups.com/2019/01/milan-based-professional-marketplace-prontopro-raises-e6-million/
Will,Milan,Imen Boulahrajane and Alessandro Tommasi,,https://www.eu-startups.com/2020/04/will-italys-instagram-born-news-startup-raises-e1-2-million-and-launches-podcast/
MSing with Trauma / MSing with Crowds,Romania,null,null,https://www.eu-startups.com/2020/09/meet-europes-15-most-promising-healthcare-startups-at-the-eit-health-innostars-awards-on-sept-30-sponsored/
Leyden Labs,Netherlands,Koenraad Wiedhaup,,https://www.eu-startups.com/2026/06/leyden-labs-secures-e40-million-to-develop-intranasal-protection-against-influenza-and-coronaviruses/
just-eat.com,Denmark,Jesper Buch,just-eat.com,https://www.eu-startups.com/2017/12/top-40-business-angels-that-are-rocking-europe-and-help-startups-grow/
Bending Spoons,Milan,Luca Ferrari,N/A,https://www.eu-startups.com/2025/09/milan-based-bending-spoons-scoops-up-vimeo-in-e1-1-billion-cash-deal-will-cuts-follow/
Prima Assicurazioni,"Milan, Italy",,,https://www.eu-startups.com/2025/08/italian-insurtech-platform-prima-assicurazioni-joins-axa-group-as-global-insurer-takes-51-stake/
Talent Garden,Italy,Davide Dattol,N/A,https://www.eu-startups.com/2017/01/europes-largest-coworking-network-talent-garden-is-expanding-to-vienna/
Smartness,"Trentino, Italy",Luca Rodella,N/A,https://www.eu-startups.com/2026/05/italian-traveltech-startup-smartness-closes-e47-million-series-b-for-european-expansion/
Bufaga,Rome,,,https://www.eu-startups.com/2024/12/romes-rising-stars-10-early-stage-startups-you-should-keep-and-eye-on/
Waveful,"Milan, Italy","Steven Motta, Dennis Motta",N/A,https://www.eu-startups.com/2025/09/italian-social-platform-waveful-raises-e1-8-million-to-create-authentic-human-connection-through-shared-passions/
Smartpricing,"Arco, Trentino, Italy","Luca Rodella, Eugenio Bancaro, and Tommaso Centonze",,https://www.eu-startups.com/2023/12/italian-startup-smartpricing-snaps-e13-million-to-increase-hotel-and-apartment-hosts-revenue-through-machine-learning/
Translated,Europe,"Marco Trombetti, Isabelle Andrieu, Gianluca Granero",,https://www.eu-startups.com/2018/08/a-different-path-to-growth-vc-pi-campus-invests-in-ai-startups-co-founded-by-researchers-and-designers/
DailySpin SL,Italy,"Eric Stoop, Jan Verrecas, John Roos, Gustaf Linder, and Niklas Lundström",DailySpin.com,https://www.eu-startups.com/2024/08/former-infinileads-owners-launch-new-gambling-comparison-sites-dailyspin-and-ippicaonline-sponsored/
Freeda Media,"Milan, Italy",Andrea Scotti Calderini,N/A,https://www.eu-startups.com/2020/02/andrea-calderini-ceo-and-co-founder-of-freeda-media-will-join-the-eu-startups-summit-to-talk-about-how-todays-young-generations-consume-media/
Translated,null,Marco Trombetti,null,https://www.eu-startups.com/2019/07/why-and-how-to-build-a-startup-chapter-3-happiness/
Agricool,Paris,Guillaume Fourdinier and Gonzague Gru,,https://www.eu-startups.com/2019/06/10-success-stories-showing-that-social-entrepreneurship-can-be-profitable/
Maia Ventures,"Milan, Italy",Andrea Galassi and David Bassani,N/A,https://www.eu-startups.com/2025/10/presenting-maia-ventures-and-their-e55-million-fund-looking-to-connect-italys-world-class-food-industry-with-innovation/
WeRoad,"Milan, Italy",Erika De Santi and co-founders,N/A,https://www.eu-startups.com/2022/08/the-weroad-journey-connecting-people-culture-and-stories-interview-with-erika-de-santi/
Digital Magics,Milan,Enrico Gasperini,null,https://www.eu-startups.com/2013/07/italian-incubator-digital-magics-listed-on-the-stock-exchange/
Namirial,"Senigallia, Italy",Enrico Giacomelli,,https://www.eu-startups.com/2026/02/the-eu-startups-podcast-interview-with-enrico-giacomelli-the-founder-and-chairman-of-namirial/
We Make Future,Bologna,,,https://www.eu-startups.com/2024/06/we-make-future-the-international-trade-fair-on-ai-tech-digital-innovation-is-back-sponsored/
Openchip,"Barcelona, Spain",GTD and the Barcelona Supercomputing Centre-National Supercomputing Centre (BSC-CNS),N/A,https://www.eu-startups.com/2026/06/spains-openchip-lands-e115-million-sett-investment-to-strengthen-europes-semiconductor-capabilities/
A-Cube,"Milan, Italy",Antonino Caccamo,,https://www.eu-startups.com/2026/05/a-cube-lands-e4-million-to-support-e-invoicing-and-real-time-tax-reporting-expansion-from-italy/
null,null,null,null,https://www.eu-startups.com/2014/12/digital-magics-signs-eur-1-mln-financing-with-gruppo-banca-sella/
Translated,"Rome, Italy",Marco Trombetti,,https://www.eu-startups.com/2019/07/why-and-how-to-build-a-startup-chapter-1-motivation/
Fleequid,"Olgiate Comasco, Italy",Filippo Battaglia and Federico Battaglia,N/A,https://www.eu-startups.com/2025/05/italian-online-marketplace-for-used-buses-fleequid-raises-e3-million/
Tractable,London,a team of researchers from Oxford and Cambridge,,https://www.eu-startups.com/2019/10/10-european-startups-tackling-natural-disasters-and-other-emergencies/
Archimede,"Syracuse, Italy","Riccardo Puglisi, Alessandro Basile, and Ferdinando Anselmi",N/A,https://www.eu-startups.com/2026/06/syracuse-based-archimede-closes-e1-5-million-seed-round-for-remote-infrastructure-monitoring/
Autheos,Amsterdam,,,https://www.eu-startups.com/2019/07/10-european-startups-that-are-disrupting-the-media/
Renewcast,"Rome, Italy",Fabio Nicolò,N/A,https://www.eu-startups.com/2025/09/romes-renewcast-secures-e1-million-for-its-renewable-energy-forecasting-tech/
Thalia Therapeutics,UK,null,null,https://www.eu-startups.com/2026/06/uk-biotech-thalia-therapeutics-raises-e3-1-million-and-acquires-sanmirna-therapeutics/
Smartwage,Italy,"Marco Gambardella, Felice Cupane, Francesco Varuzza",,https://www.eu-startups.com/2026/04/italys-smartwage-secures-e2-million-to-turn-corporate-welfare-into-real-spending-with-ai-and-digital-payments/
Satispay,Milan,Alberto Dalmasso,N/A,https://www.eu-startups.com/2024/11/milan-based-satispay-secures-e60-million-to-expand-its-mobile-payments-and-employee-benefits-platform/
Viceversa,Milan,Matteo Masserdotti and Pedro Salvi,,https://www.eu-startups.com/2023/05/milan-based-fintech-startup-viceversa-secures-e10-million-to-continue-its-international-expansion/
Vottun,"Barcelona, LA",null,null,https://www.eu-startups.com/2020/10/blockchers-presents-4-exciting-blockchain-startups-working-in-food-water-sponsored/
BOOM,"Milan, Italy","Jacopo Benedetti, Federico Mattia Dolci and Giacomo Grattirola",,https://www.eu-startups.com/2022/06/milan-based-boom-acquires-lemonone-as-the-demand-for-visual-content-soars/
Leaf Space,"Lomazzo (Como), Italy",Jonata Puglia,,https://www.eu-startups.com/2023/07/italian-spacetech-leaf-space-snaps-e20-million-to-make-the-sky-not-the-limit-for-satellite-connectivity/
